#Parameters = {M=2; N=57.75; a=0.4; b=0.81; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0025; wgr6=1.625}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
136.22999572754	-24.796177079264
136.33999633789	-24.367708244116
136.44999694824	-24.172421177645
136.55999755859	-24.160631760811
136.66999816895	-24.282391933657
136.77999877930	-24.501964944832
136.88999938965	-24.813689007815
137.00000000000	-25.249859900112
137.11000061035	-25.875999045733
137.22000122070	-26.779810646875
137.33000183105	-28.064456280279
137.44000244141	-29.851369827823
137.55000305176	-32.283672593789
137.66000366211	-35.442072751837
137.77000427246	-38.563021838736
137.88000488281	-38.587458808253
137.99000549316	-35.972007431754
138.10000610352	-33.401811230140
138.21000671387	-31.289505124559
138.32000732422	-29.518163587146
138.42999267578	-28.011584465463
138.53999328613	-26.758032219613
138.64999389648	-25.769774035640
138.75999450684	-25.055249217390
138.86999511719	-24.608188626919
138.97999572754	-24.405372819352
139.08999633789	-24.408010003062
139.19999694824	-24.567150505865
139.30999755859	-24.835899919132
139.41999816895	-25.188185649798
139.52999877930	-25.635998834458
139.63999938965	-26.234262086757
139.75000000000	-27.072457286952
139.86000061035	-28.264597647975
139.97000122070	-29.949958720144
140.08000183105	-32.306022816071
140.19000244141	-35.518851325794
140.30000305176	-39.138278762504
140.41000366211	-39.631385497215
140.52000427246	-36.718716927033
140.63000488281	-33.958780822928
140.74000549316	-31.810815944285
140.85000610352	-30.058391737003
140.96000671387	-28.560248064493
141.07000732422	-27.278543180790
141.17999267578	-26.227598645745
141.28999328613	-25.430339548311
141.39999389648	-24.896846082924
141.50999450684	-24.617965841762
141.61999511719	-24.565146483304
141.72999572754	-24.693575365341
141.83999633789	-24.951002530690
141.94999694824	-25.295125558281
142.05999755859	-25.715695921254
142.16999816895	-26.248907620241
142.27999877930	-26.974997644148
142.38999938965	-28.006060380418
142.50000000000	-29.480501616714
142.61000061035	-31.574599686912
142.72000122070	-34.516626626916
142.83000183105	-38.347971250885
142.94000244141	-40.639582940062
143.05000305176	-38.156533061204
143.16000366211	-35.066844774164
